"","LineCode","Year","Description","GeoName","Number of jobs","industry","state","parent_item_code","area_code","area_name","cpi_value"
"1",705,"1998","Food and beverage stores","Alaska","6924","Food & Beverages","AK","SAF","A427","Anchorage",1465.8
"2",705,"1999","Food and beverage stores","Alaska","6934","Food & Beverages","AK","SAF","A427","Anchorage",1475.9
"3",705,"2000","Food and beverage stores","Alaska","6767","Food & Beverages","AK","SAF","A427","Anchorage",1504.3
"4",705,"2001","Food and beverage stores","Alaska","6594","Food & Beverages","AK","SAF","A427","Anchorage",1553.3
"5",705,"2002","Food and beverage stores","Alaska","6321","Food & Beverages","AK","SAF","A427","Anchorage",1570.9
"6",705,"2003","Food and beverage stores","Alaska","6470","Food & Beverages","AK","SAF","A427","Anchorage",1618.6
"7",705,"2004","Food and beverage stores","Alaska","6553","Food & Beverages","AK","SAF","A427","Anchorage",1677.2
"8",705,"2005","Food and beverage stores","Alaska","6839","Food & Beverages","AK","SAF","A427","Anchorage",1712.4
"9",705,"2006","Food and beverage stores","Alaska","6954","Food & Beverages","AK","SAF","A427","Anchorage",1742.9
"10",705,"2007","Food and beverage stores","Alaska","6956","Food & Beverages","AK","SAF","A427","Anchorage",1811.58
"11",705,"2008","Food and beverage stores","Alaska","6889","Food & Beverages","AK","SAF","A427","Anchorage",1877.16
"12",705,"2009","Food and beverage stores","Alaska","6873","Food & Beverages","AK","SAF","A427","Anchorage",1861.66
"13",705,"2010","Food and beverage stores","Alaska","6755","Food & Beverages","AK","SAF","A427","Anchorage",1854.21
"14",705,"2011","Food and beverage stores","Alaska","6731","Food & Beverages","AK","SAF","A427","Anchorage",1913.07
"15",705,"2012","Food and beverage stores","Alaska","6673","Food & Beverages","AK","SAF","A427","Anchorage",1949.38
"16",705,"2013","Food and beverage stores","Alaska","6573","Food & Beverages","AK","SAF","A427","Anchorage",1956.47
"17",705,"2014","Food and beverage stores","Alaska","6732","Food & Beverages","AK","SAF","A427","Anchorage",1982.86
"18",705,"2015","Food and beverage stores","Alaska","6352","Food & Beverages","AK","SAF","A427","Anchorage",2014.74
"19",705,"2016","Food and beverage stores","Alaska","6233","Food & Beverages","AK","SAF","A427","Anchorage",2008.68
"20",705,"2002","Food and beverage stores","Arizona","50823","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1018
"21",705,"2003","Food and beverage stores","Arizona","51947","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1036.3
"22",705,"2004","Food and beverage stores","Arizona","54593","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1080.3
"23",705,"2005","Food and beverage stores","Arizona","58143","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1100.8
"24",705,"2006","Food and beverage stores","Arizona","61277","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1125.2
"25",705,"2007","Food and beverage stores","Arizona","63052","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1181.49
"26",705,"2008","Food and beverage stores","Arizona","61586","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1238.48
"27",705,"2009","Food and beverage stores","Arizona","60707","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1242.98
"28",705,"2010","Food and beverage stores","Arizona","58733","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1250.79
"29",705,"2011","Food and beverage stores","Arizona","57795","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1286.54
"30",705,"2012","Food and beverage stores","Arizona","56735","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1316.91
"31",705,"2013","Food and beverage stores","Arizona","56872","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1345.06
"32",705,"2014","Food and beverage stores","Arizona","58153","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1361.51
"33",705,"2015","Food and beverage stores","Arizona","59737","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1383.75
"34",705,"2016","Food and beverage stores","Arizona","60666","Food & Beverages","AZ","SAF","A429","Phoenix-Mesa",1407.62
"35",705,"1998","Food and beverage stores","California","339670","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",5930.7
"36",705,"1999","Food and beverage stores","California","344752","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",6053.53
"37",705,"2000","Food and beverage stores","California","345755","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",6203
"38",705,"2001","Food and beverage stores","California","342818","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",6440.47
"39",705,"2002","Food and beverage stores","California","349337","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",6595.43
"40",705,"2003","Food and beverage stores","California","352047","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",6773.57
"41",705,"2004","Food and beverage stores","California","348368","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",6987.5
"42",705,"2005","Food and beverage stores","California","356207","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",7128.37
"43",705,"2006","Food and beverage stores","California","358454","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",7256.6
"44",705,"2007","Food and beverage stores","California","364512","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",7527.9
"45",705,"2008","Food and beverage stores","California","367159","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",7863.82
"46",705,"2009","Food and beverage stores","California","360010","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",7938.97
"47",705,"2010","Food and beverage stores","California","357934","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",7962.22
"48",705,"2011","Food and beverage stores","California","361055","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",8195.12
"49",705,"2012","Food and beverage stores","California","364990","Food & Beverages","CA","SAF","A421;A422;A424","Los Angeles-Riverside-Orange County;San Francisco-Oakland-San Jose;San Diego",8342.6
