PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU331315331315,,,,,,,,,,,
Series Title:,"PPI industry data for Aluminum sheet, plate, and foil mfg, not seasonally adjusted",,,,,,,,,,,
Industry:,"Aluminum sheet, plate, and foil mfg",,,,,,,,,,,
Product:,"Aluminum sheet, plate, and foil mfg",,,,,,,,,,,
Base Date:,198106,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,153.0,151.1,149.8,148.5,148.0,144.8,142.3,143.4,143.2,141.8,140.6,138.9
1999,137.3,136.3,135.2,134.5,136.8,139.5,140.4,141.4,141.8,143.3,143.5,144.0
2000,146.5,148.7,150.4,153.1,150.8,147.6,150.3,151.5,152.6,152.6,150.3,150.6
2001,151.4,152.0,150.8,150.5,150.4,149.6,149.1,148.1,146.5,143.7,143.5,142.9
2002,143.0,142.8,143.8,139.9,139.9,140.3,140.1,139.4,139.8,140.3,140.5,141.0
2003,140.9,140.9,141.1,141.1,141.0,141.1,141.1,140.9,140.9,140.9,140.9,140.9
2004,139.3,140.8,141.5,141.5,148.4,145.0,145.2,145.4,149.2,149.2,149.2,153.6
2005,154.7,156.3,157.7,159.6,158.4,155.2,154.0,154.5,154.9,156.0,158.1,162.2
2006,165.9,171.3,173.9,175.6,183.2,185.1,181.8,179.9,178.8,178.9,182.1,183.7
2007,187.0,189.0,189.7,190.7,190.9,192.1,188.6,187.8,184.3,180.6,182.0,181.4
2008,180.1,181.4,189.9,193.8,194.4,195.3,197.6,195.9,194.0,191.6,185.5,180.3
2009,164.3,158.6,150.8,148.8,150.7,151.0,153.1,157.6,161.2,161.1,160.3,164.4
2010,170.7,172.1,171.7,178.1,175.7,170.7,168.1,171.3,173.5,176.9,181.4,180.7
2011,182.9,183.7,188.6,194.6,198.4,198.8,194.9,194.7,191.5,188.4,182.5,179.9
2012,177.4,180.6,183.1,182.0,178.3,177.2,176.4,175.2,178.2,180.0,178.8,179.3
2013,179.2,179.6,179.7,176.0,175.1,174.2,172.3,172.2,172.5,171.4,171.2,171.0
2014,172.2,175.1,174.2,175.3,176.1,176.3,179.3,183.8,185.1,182.9,185.8,185.9
2015,182.4,182.9,182.4,180.6,179.2,174.4,171.3,169.2,168.3,168.2,165.7,165.4
2016,165.6,165.0,165.5,164.6,166.1,166.2,167.3,167.3,166.6,167.6,170.1,172.7
2017,172.6,176.4,178.8,181.3,181.4,180.5,178.7,181.5,185.3,188.7,189.3,187.9
2018,190.4,193.4,199.3,202.6,212.6,216.9,208.1,207.8,205.9,205.9,202.3,201.9
2019,201.5,201.0,201.3,203.0,200.6,199.1,199.0,193.2,192.7,191.5,188.3,188.8
2020,190.4,183.0,181.4,170.3,163.7,163.6,166.3,168.2,,,,
