PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU33441K33441K,,,,,,,,,,,
Series Title:,"PPI industry data for Capacitor, resistor, coil, transformer, and other inductor mfg, not seasonally adjusted",,,,,,,,,,,
Industry:,"Capacitor, resistor, coil, transformer, and other inductor mfg",,,,,,,,,,,
Product:,"Capacitor, resistor, coil, transformer, and other inductor mfg",,,,,,,,,,,
Base Date:,201112,,,,,,,,,,,
Years:,2011 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,,,,,,,,,,,,100.0
2012,99.5,99.5,99.6,99.6,99.7,99.5,99.5,99.8,100.1,100.1,99.8,99.9
2013,99.9,99.9,99.9,99.9,99.6,99.6,99.6,99.9,100.0,100.0,100.0,100.1
2014,100.2,100.2,100.2,100.1,100.0,100.0,100.0,100.3,100.3,100.4,100.3,100.3
2015,100.5,100.4,100.5,100.5,100.5,100.5,100.4,100.4,100.6,100.7,100.7,100.8
2016,100.7,100.6,100.6,100.6,100.6,101.0,101.1,101.1,101.1,101.1,101.2,101.4
2017,101.5,101.6,101.5,101.3,101.3,101.3,101.1,101.3,101.6,101.7,101.7,101.8
2018,102.0,102.3,103.8,105.1,105.1,105.1,109.3,109.3,128.3,128.3,128.2,128.2
2019,128.4,128.5,128.7,128.7,128.9,129.1,129.2,129.5,129.7,129.7,129.7,129.5
2020,130.7,130.8,130.3,130.3,130.6,130.6,130.6,130.7,,,,
