PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU325---325---,,,,,,,,,,,
Series Title:,"PPI industry sub-sector data for Chemical mfg, not seasonally adjusted",,,,,,,,,,,
Industry:,Chemical mfg,,,,,,,,,,,
Product:,Chemical mfg,,,,,,,,,,,
Base Date:,198412,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,147.3,147.1,149.2,149.8,149.7,149.5,149.5,149.1,148.5,148.3,148.1,147.9
1999,147.5,147.3,147.5,147.7,148.2,149.0,149.9,150.0,151.0,152.8,153.0,152.9
2000,153.6,154.5,155.2,155.5,156.4,156.5,157.4,157.5,158.3,158.6,158.3,158.7
2001,160.3,161.5,161.6,161.4,160.1,159.7,157.8,156.3,156.6,155.7,155.4,154.3
2002,154.0,154.3,155.1,155.9,156.3,157.0,158.5,158.6,158.7,159.6,159.7,159.3
2003,160.9,162.3,165.2,166.7,165.8,165.0,164.5,164.2,164.8,165.2,165.0,165.3
2004,167.0,167.9,168.8,169.7,170.3,171.6,172.2,173.8,175.5,177.2,179.3,180.5
2005,182.7,183.4,184.7,185.9,185.8,185.3,186.3,186.4,187.7,191.2,193.6,193.9
2006,195.7,196.2,196.2,195.7,196.6,197.2,197.6,197.8,197.9,197.2,196.5,197.0
2007,197.3,198.1,199.4,201.1,201.9,202.8,203.6,204.9,205.0,206.4,209.2,210.4
2008,213.6,215.8,218.4,221.1,224.5,228.5,234.5,238.2,240.4,239.3,234.5,229.7
2009,226.7,225.1,224.6,223.6,222.8,222.4,224.1,224.0,225.1,225.0,225.4,227.3
2010,228.7,231.3,232.0,234.1,233.4,232.6,233.5,233.7,234.6,236.3,236.8,237.6
2011,242.6,245.0,247.6,250.2,252.8,253.4,255.1,255.2,256.7,255.9,255.6,254.7
2012,258.4,259.7,261.7,262.0,262.0,259.6,259.6,260.2,259.9,260.8,259.9,259.3
2013,262.8,264.7,265.0,265.3,265.1,265.5,265.2,263.9,262.8,262.3,261.7,262.6
2014,266.5,267.9,268.1,269.9,269.5,270.0,271.1,271.0,271.4,270.4,267.7,266.5
2015,265.1,264.8,263.5,264.4,265.3,268.2,267.3,266.5,264.5,263.2,262.6,262.6
2016,264.9,264.4,264.8,266.0,266.3,268.1,267.7,267.7,268.2,269.0,269.3,268.8
2017,272.8,274.9,276.1,277.2,276.7,277.5,276.9,277.5,277.6,280.2,281.2,282.5
2018,284.7,286.4,288.6,288.4,289.9,290.8,291.2,292.2,291.6,292.5,293.1,292.5
2019,293.7,293.4,293.3,293.3,292.1,292.4,292.8,291.3,290.6,291.7,290.8,289.4
2020,291.0,291.5,290.4,286.8,284.7,285.5,286.9,287.6,,,,
