Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,135.2,135.3,136.2,136.2,136.5,136.2,135.4,135.3,135.2,136.2,136.2,135.7
1999,136.9,137.2,137.2,137,135.9,135.6,135.7,136.4,136.6,137.3,137.4,138.1
2000,139.6,139.4,139,139.4,139,139.5,139.7,139.6,139.5,140.5,140.8,140.6
2001,142.2,143.1,143.6,143.8,144.1,144.2,144.4,144.4,144.4,144.2,144.1,145.3
2002,144.9,146,146,145.9,145.9,145.8,145.7,145.6,145.7,145.7,145.8,146
2003,150.5,151.2,152.7,152.6,153.1,153.7,153.4,152.9,153.3,153.3,153.3,155.3
2004,158.7,159,159,160,160.5,161.1,160.7,160.9,160.8,160.8,161.8,161.8
2005,163.4,163.2,163.2,163.5,163.6,163.5,163.3,163.4,163.6,163.8,163.8,163.9
2006,167.7,168,168.8,170.3,169.9,169.8,169.7,169.7,170,170.3,171.2,171.2
2007,175.9,177,176,176.4,176.6,177.1,177,177.5,177.7,178.2,178.2,178.3
2008,182,183.1,183.5,183.8,183.7,184,184.3,184.4,184.8,184.4,185.5,185.4
2009,192,192.8,194.1,194.2,193.9,193.9,194.5,194.4,194.1,193.9,194.2,193.8
2010,197.9,198.4,198.6,198.7,198.7,198.8,199.3,199.3,199.2,199.4,199.8,199.8
2011,202.3,204.2,204.3,204.9,204.8,204.8,204.3,204.7,204.9,205.2,205.7,205.8
2012,207.7,209.1,209.6,209.7,210,210,210.4,210.6,210.8,211.3,211.4,211.4
2013,213.6,213.9,214,214,214.1,214.1,214.1,213.6,213.3,213.5,214.7,214.6
2014,217,217.3,217.3,217.5,217.3,217.7,218.1,218.3,218.6,219.3,219.5,219.1
2015,217.8,217.8,218.8,217.5,217.8,216.9,218.4,217.5,218.4,218.4,220.6,220.7
2016,222.6,222.7,222.4,221.8,222,222.3,222.5,222.3,222.3,222.4,222.4,222.4
2017,222.9,223,223.1,223.7,223.7,223.6,223.6,223.6,225,225.8,225.5,225.5
2018,226.9,227.5,227.6,227.8,227.7,227.7,227.6,227.6,227.6,227.6,228.3,228.6
2019,230.2,230.5,230.8,230.9,231,231,231,231,231,231.9,231.9,231.8
2020,232.4,232.5,232.3,232.4,233,233.6,233.3,233.3,,,,
