Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,137.8,138,137.8,137.2,135.4,134.3,134.8,133.9,132.7,140.6,140.4,139.2
1999,138.2,138.7,137.7,138,137.2,136,134.7,134.4,133.4,142.1,140.8,140.5
2000,139.9,139.4,139,138.9,138.9,137.4,136.8,135.8,135.5,141.2,141.3,141.1
2001,140.3,137.7,138.1,138.9,136.9,135.9,136.5,136,135.8,138.3,137.8,138.3
2002,136.8,137.7,136.4,136,134.9,134.4,131.3,130.3,130.4,139,136.5,135
2003,135.7,135.8,138.5,134,133.6,132,131.6,132,130.5,140.7,139,137.6
2004,137.4,136.8,137.1,135.9,136.2,136.2,132.8,132.4,131.5,142,139.9,139.5
2005,139.8,137.4,136.8,136.5,135.8,132.6,132.8,131.7,131.9,137.8,134.8,132.9
2006,133.7,133.7,133.4,132.3,132,130.6,123.7,125.7,126.5,129.4,135,133.8
2007,132.8,132.5,131.9,130.5,130.1,129.8,129.2,128.2,126.6,134.1,134.8,132.9
2008,133.6,133.5,132.1,133.1,132.2,129.5,128.2,129.1,128.7,139.4,137.7,137.6
2009,137,136.8,136,136.7,136.1,137.9,134.6,136.1,133.8,138.3,139.5,138.1
2010,139.3,139,137.8,137.2,137.3,135.4,134.8,135,134.5,137.7,137,136.4
2011,137,137,136.7,137.4,136.7,136.9,136.7,136.5,135.7,140.6,140.7,140.3
2012,141,140.4,140.3,140.6,139.7,140.1,140.9,140.8,139.6,143.9,144.1,143.6
2013,143.4,143.3,142.6,142.4,141.7,141.3,140.7,140.4,140.2,144.8,145.6,146.4
2014,146.8,146.6,145.5,145.2,144.4,143.8,143.6,143.4,142.6,148,147.8,146.3
2015,147.8,149.4,149.2,148.7,148.5,148.1,148.5,147.4,147.2,150.7,150.6,150.5
2016,149.9,150.2,149.8,149.6,149.7,149.8,148.5,147.7,147.6,152.7,152.4,153.4
2017,152.6,152.3,152.9,152.8,151.2,151.2,150.1,149.8,149.8,153.5,154.3,154.3
2018,153.3,152.9,152.9,152.5,152.5,152.7,152.2,152.1,152.4,155.3,155.2,155
2019,154.8,154.5,153.7,153.4,153.2,153,152.6,152,151.7,154.6,155.1,154.5
2020,152.9,153.6,152,153,152.7,152.2,152.3,152.3,,,,
