Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,140.6,139.3,140.2,141,141.3,141.8,141.1,140.8,142.1,142.1,141.3,140.8
1999,140.9,141.1,140.9,140.8,140.8,140.8,144.4,144.7,144.7,144.7,144.7,144.7
2000,145,145.3,145.8,146,147.4,147.3,146.8,146.6,146.1,146.4,145,145.1
2001,145.6,145.3,145.2,145.2,144.7,144.6,144.6,144.3,144.3,144.2,143.9,143.7
2002,142.1,142.1,141.6,141.8,142,142.1,141.6,141.3,141.3,141.3,141.1,142.2
2003,142,141.3,141.4,141.6,141.5,141.3,142.2,142.2,142.2,142,142,142
2004,142.2,140.9,141.4,142.3,144.6,144.9,145.6,146.1,147.1,150.3,151,153.3
2005,155,155.7,158.2,158.9,158.9,160.7,161.1,161.2,162.6,163.5,166.6,168.1
2006,170,170.5,172.4,174.3,175.1,185.9,188.6,191.2,193.7,194.1,194,194.7
2007,197.2,203.1,204.5,204.8,207.2,206.4,207.6,209.7,207.9,208.4,209.6,211
2008,217,217.9,225,226.4,229.6,234.6,239,238.2,238.6,238.9,225.3,221.8
2009,215.2,218.5,220.2,219.6,219.7,221.6,221.1,224.4,227,228,231.2,232.8
2010,235.2,235.6,235.4,235.6,238.4,237,236.5,236.6,236.7,237.5,238.5,238.5
2011,240.5,242.9,244.1,245.7,246.5,245.6,245.3,245.3,243.5,243.4,243.4,243.8
2012,246.8,247.1,243.5,245.4,244.6,243.2,240.1,240.2,240.4,241.5,240.4,239.9
2013,241.3,241.3,242.2,240.6,241.9,240.2,239.2,240.6,241.5,240.9,240.5,239.7
2014,240.1,240.4,241.6,241.1,241.6,241.5,242.7,243,242.2,241.4,240,239.3
2015,237.2,234.9,234.3,231.1,231.8,231.3,230.9,230.1,228.2,225.4,223.9,223.1
2016,223.1,226.4,227.7,228.6,228.5,228.5,228.4,228.1,227.9,228.1,228.6,230.2
2017,231.5,232.3,233.1,235.5,235.9,234.7,234.1,233.6,233.7,236.7,237.3,236.6
2018,237.6,240.6,240.9,243.5,243.5,245.7,249.5,250.1,249.8,249.7,250.1,250.2
2019,249.9,249.7,252,251.4,252.1,251.7,252.8,251.6,252.3,252.2,254,256.1
2020,255.5,256.2,255.3,253.1,252.3,252.1,254.7,255.6,,,,
