Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,,,,,,,,,,,,100
2004,100.1,100.1,100.2,100.3,101.1,104.5,104.9,105.8,105.9,103,101.9,102.3
2005,103.3,103.1,103.3,103.5,104.6,108.7,109.9,110.3,110.5,109.3,109.1,109.4
2006,112.7,113.2,112.7,113.4,114.1,118.1,118.7,118.4,118.9,115,112.6,112.9
2007,114.6,115.7,114.9,115.5,117.8,122.3,122.9,122.9,123.2,119.8,118.2,118.4
2008,119.6,119,120.1,121.3,123.4,127,129.7,130,129.6,127.4,125.1,125.4
2009,126.7,127,126,125.8,127.5,129.5,131,130.4,130.5,127.2,125.4,125.5
2010,125.9,126.4,127.7,128.3,129.6,134.4,135.5,135.6,135.5,130.9,128.3,128.9
2011,130,130.8,131.1,131.1,133,136.2,137.9,138.4,138,134.9,132.5,132.9
2012,132.4,132.5,132.1,132,134,136.6,139.2,139.2,139.6,135.9,134.5,135.5
2013,134.6,134.3,134.4,134.2,136.4,140.2,140.9,140.7,140.8,137.1,135.3,135.9
2014,138.7,137.7,139.7,139,141.3,145.6,146.7,147.1,146.6,143.2,139.9,140.5
2015,142.8,142.4,142.2,141.1,142.6,149.3,150,149.8,148.9,143.2,140.6,141
2016,139.9,138.9,140.4,138.8,140.6,146,147.5,147.9,148.3,143.2,141.3,141.4
2017,144.4,145.9,146.3,145,148.1,152.8,154,153.7,152.7,148.7,146.2,146.4
2018,148.4,149.8,148,146.7,149.2,155.1,155.6,154.9,154,150,146.9,148.5
2019,149.2,148.2,148.7,147.9,149.8,155.6,155.7,155.7,155,147.5,146,145.7
2020,146.7,145.5,145.3,144.2,145.6,151.9,153.8,154.5,,,,
