Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,136.6,137.3,137.2,137.1,137.1,137,137.3,137.3,135.9,135.6,136.5,137.3
1999,137.5,137.5,138.3,138.1,138.3,138.1,138.3,138.2,138.3,138.2,138.5,138.8
2000,139.2,139.3,139.3,138.8,139.2,139.3,139,138.9,139.1,139,139.3,139.1
2001,140.3,140.4,140.4,140.7,141.3,141.5,142.8,143.4,143.6,143.4,144.1,144.1
2002,144.1,144.1,143.9,144,144.3,142.7,142.5,143.3,143.9,143.8,143.9,144.1
2003,144,144.4,144.3,144.5,144.6,144.4,144.6,144.6,145.2,145.5,145.7,145.6
2004,145.6,145.7,145.2,145.5,145.3,145.9,146.4,146.5,147,147.4,148.7,148.9
2005,149.3,149.7,149.9,150.2,151.4,151.8,151.9,152,152,152.3,152.7,153.2
2006,153.3,152.7,153.2,153.7,154.4,155.5,155.5,155.9,157,158.1,160.7,160.7
2007,164,164,164.6,164.9,164.5,165.1,164.7,164.5,166.1,166.8,167,167.1
2008,168.5,169.1,169.4,173,174.1,174.6,175.7,178.5,182.5,183.8,185.6,187
2009,188.4,189.1,191.3,191.4,190.8,191,191,190.5,189.8,189.2,188.9,188.9
2010,188.8,186.8,187.2,186.9,186.9,185.9,185,184.8,183.7,183.6,183.8,184.3
2011,185.8,186.5,187.5,188.1,188.4,188.8,190.9,191.5,193.9,194.4,195.2,195.3
2012,197.1,197.7,198.4,198,198.2,199,199.5,201,201.3,201.8,201.2,201.7
2013,202,202.2,202.3,202.6,202.7,202.5,203,202.9,203,202.8,202.5,202.5
2014,202.4,202.3,202.3,201.6,202.5,203.3,203.5,204.2,205.4,205.7,206.7,206.7
2015,207.8,208.6,211,208.3,208.9,208.9,208.6,206.3,207.1,206.1,207.1,205.3
2016,203.5,204.4,203.5,203.2,203.7,203.9,204.7,206,207,206.6,208.2,208.9
2017,208.7,207.8,207.9,209,208.8,208.8,208.5,208.7,208.3,208.7,210.1,209
2018,209.4,210.2,208.9,208.9,210.4,211.4,210.8,211.7,211.5,211.5,212.8,213.1
2019,212.3,211.6,212.1,211.2,210.4,211.1,210.7,211.7,212,212.4,212.9,212.4
2020,215.6,214.7,215.2,215.3,216.6,214.9,216.3,216.1,,,,
