Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,113.5,113.5,113.3,113.4,113.5,113.4,113.5,113.5,113.5,113.4,113.2,113.2
1999,112.6,112.7,112.6,112.7,113.2,113.1,113.1,113.1,113.3,113.3,113.3,113.3
2000,113.9,113.9,114,113.9,114.1,114.4,114.5,114.6,114.7,115.1,115.4,115.3
2001,115.9,115.8,116,115.7,115.8,116,116.1,116.3,117.8,118,117.9,118
2002,118.5,118.6,118.6,118.6,118.8,118.9,119.1,118.9,119,119.2,119.5,119.5
2003,119.7,119.9,120.9,121.7,121.2,121.8,121.8,121.7,121.9,122,122.1,122.2
2004,123.2,123.4,124.4,124.7,125.3,125.6,126.4,126.6,128,128.9,129.9,131.2
2005,131.9,132,133.7,135,138.7,139.2,139.3,140.8,142.5,145.7,148.4,148.4
2006,147.2,146.3,148.3,148.6,150.5,153.1,154.9,155.1,155.6,155.5,152.5,151.2
2007,151.8,152.5,151.2,152.5,154,157.3,157.2,159.1,160.8,161.4,163.4,165.1
2008,169.6,169.1,169.6,170.6,174.4,178,181.3,183.3,182.6,179.5,176.1,171.3
2009,166.8,164.6,163.1,162.8,162.8,163.9,164.6,167.2,167.3,167.7,168.2,168.3
2010,170.4,171.2,172.5,172.7,174.7,176.1,175.9,174.8,175.1,175.6,175.5,176.9
2011,180.2,181.6,184.7,188.4,192.1,193.3,193.2,192.2,192.2,191.7,191.6,191.5
2012,193.4,194.6,194.9,196.4,200.5,200.2,198.7,196.9,197.4,199.9,201.1,201
2013,203.3,203.2,203.4,205.3,204.9,203.9,203.8,203.6,204.2,204.9,205.3,204.8
2014,206.4,207.2,207.5,208.7,209.2,208.8,209,208.8,208.4,207.9,207.7,206.8
2015,206.5,204,200.5,201,200.7,200.1,200.5,199.4,198.5,197.1,197,197.1
2016,195.2,193.8,193.2,193.6,194.2,195.2,196.1,196.4,197.3,197.1,197.7,198.6
2017,199.8,200.8,201.7,201.8,202.1,202.3,202.3,202.2,202.8,205,206.2,207
2018,208.2,208.9,211,212.3,213,214.3,214.7,215.4,217.6,217.9,218.7,219
2019,218.8,218.7,218.4,220.5,221.4,221.6,221.7,221.3,221,221.5,221.6,221.8
2020,223.1,223.2,222.7,221.7,218.7,218.3,217.8,219.2,,,,
