Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,139.7,140,139.9,140.2,140.4,140.4,140.7,140.8,141.9,142.2,142.2,141.7
1999,142.2,142.5,141.8,141.8,141.7,142.6,142.6,141.8,142.1,142.3,142.5,142.5
2000,142.3,142.5,142.4,142.4,142.5,143.8,143.9,143.8,144.1,144,144,144
2001,145.5,146,146,146,145.8,146,145.7,145.8,148.3,148.4,148.2,148.2
2002,148.2,148.2,148.2,148.1,148.1,147.9,148,148,148,148,148.1,148.1
2003,148,147.8,147.8,147.7,147.6,147.6,147.5,147.6,147.6,147.7,147.4,147.2
2004,147.5,147.8,147.8,147.9,147.9,147.8,148.1,148.1,148.1,148.1,148.3,148.3
2005,150.3,150.3,150.8,150.7,151.3,151.3,151.5,153.3,153.2,152.8,152.9,153
2006,153.9,154,153.7,153.8,153.6,153.6,153.6,153.6,154.3,154.4,154.5,154.5
2007,156.4,156.5,159.1,159.6,159.6,159.9,160.8,160.9,160.8,161.2,161.7,161.7
2008,164.6,165,164.8,164.9,165.6,165.9,166,167.3,167.4,167.7,167.6,167.7
2009,168.4,168.8,169,168.8,169.4,169.6,169.8,169.9,170.2,170.6,170.5,170.5
2010,171.1,170.6,170.6,170.6,169.2,169.2,169.2,169.1,167.7,168.2,168.2,168.2
2011,169.3,169.4,170.1,170.4,170.9,171.7,171.5,171.5,171.7,171.7,172,171.9
2012,173.2,170.3,170.6,170.8,171.2,171.4,171.4,171.7,172.3,172.3,172.3,172.4
2013,173,173.4,174.8,175.2,175.2,175.3,175.3,175.4,175.4,175.4,176.5,176.5
2014,177.5,177.7,178.5,178.6,178.6,178.2,178.3,178.2,178.3,178.3,178.3,178.3
2015,179.7,179.6,179.6,179.5,179.5,179.6,179.5,179.6,179.9,180.1,180.3,180.9
2016,181.7,181.8,182.2,182.2,182.2,182.2,182.4,181.8,181.8,181.9,181.9,182.2
2017,182.3,182.1,182.1,182.2,182.2,181.9,181.9,181.9,180.7,181.1,181.1,181.2
2018,181.8,182.1,182.9,183.2,183.2,183.6,183.8,183.8,184.4,184.3,184.5,184.6
2019,185,185.6,185.6,185.7,185.8,185.9,185.9,186.6,186.6,186.9,187.9,188
2020,189.1,189.2,189.2,189.7,190.8,190.7,190.7,190.9,,,,
