Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,150.4,147.6,145.1,144.4,142.6,140.1,138.3,137,133.2,131.8,130.4,129.2
1999,130.1,129.7,130.8,132.3,136.2,137.5,142.6,144.3,147.9,161.3,161.3,159.1
2000,158.3,159.5,163.2,164.3,167.5,167,167.3,167.8,163.7,166,164.3,162.9
2001,165.6,167.1,169.3,169.6,167.6,165.3,160.4,155.6,150.6,151.5,149.9,146.3
2002,142.7,141.2,141.7,143,144.1,146.2,153.4,154.2,154.3,156.6,155.1,153.9
2003,157.8,164.2,172.7,176.3,175.4,171.3,166.9,164.6,166.2,167.6,166.2,164.8
2004,169,172.9,174.7,179.1,180.4,185.7,189.2,195.2,203.8,212.2,219.4,222.1
2005,226.6,226.9,229.1,230.6,226.3,219.9,218.7,217.1,223,238.6,244.3,241.2
2006,240,236.4,235.4,231.6,232.6,235.1,235.8,238.7,239.9,238.3,234.3,227.6
2007,224.5,222.4,224,228.8,230,231.8,233.5,234.4,233.4,237,243.5,245.8
2008,250,250.2,250.6,251.3,256.1,258.6,269.8,274.4,269.5,264.8,239.1,227.1
2009,218.8,224.7,222,218.4,221.6,221.3,232,231.5,234.8,233.4,233.5,242.1
2010,240,252.8,248.7,263.9,254,247.6,251.7,250,249.2,254.1,249.4,248
2011,253,259.7,264.7,271,282.6,281.9,280.5,276.6,279.2,273.7,276,271.1
2012,275.9,279.6,283.4,283.9,283.1,280.3,277,277.5,274,276.9,276.9,276.3
2013,283.1,287.7,290.9,289.4,287.1,288.1,287.1,288.2,288.8,289.2,291.3,291.5
2014,294.7,297.8,300,301.1,300.5,298.2,300.2,302.8,305,307.1,303.2,295.7
2015,285.4,280.8,274,273.2,274.1,275.6,273.8,270.7,264.5,261.4,260.2,261.2
2016,256.7,255.4,254.3,254,257.2,260.1,259.9,259.5,260.7,263.3,262.2,258.1
2017,260.1,265.1,269.2,273.8,274.1,272.9,270.3,269.9,272.6,277.2,278.8,280.3
2018,275.1,278,282.7,280.7,285.1,288,289,292.6,290.4,291.4,286.8,282.2
2019,276.5,275.8,273.9,273.9,275.7,273.2,272.7,273.1,273.3,273.8,271.2,266.1
2020,265.7,269.6,268.6,255.8,248.7,252.5,254.6,262.7,,,,
