Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,138.8,139,139,139.2,140.3,140.2,140.3,140.3,140.5,140.2,140.4,140.5
1999,140.1,140,140.2,140.2,140.2,140.1,140,140.1,140,140.1,140.4,140.3
2000,140.8,141.2,141.7,141.6,141.8,141.5,141.8,142.2,142.2,142.3,142.3,142.2
2001,142,142.1,142.3,141.9,141.7,141.5,141.4,141,141,141.1,141.1,141.3
2002,141.2,141.3,141.6,141.9,142.3,143,144.1,143.7,144.2,143.9,143.6,143.8
2003,144.3,144.4,144.2,144.2,144.3,144.4,144.5,144.2,144.7,144.6,144.7,144.8
2004,146.4,148.3,153.6,157.5,158.8,160.4,162.5,164.1,165,164.9,165.3,165.6
2005,166.2,166.5,165.9,166.1,165.6,164.9,164.8,164.8,165,165.4,165.7,165.7
2006,166.5,166.9,167.6,168.3,169,171.9,172.5,174.5,174.9,175.1,175.3,176.2
2007,176.3,176.8,176.3,176.4,176.6,176.7,176.7,177.2,177.2,177.4,177.2,177.1
2008,177.7,178.9,180.6,182.6,187.7,188.6,191.5,192.8,194.1,193.4,193.9,189.8
2009,188.4,184.6,183.3,182.9,182.3,181.1,180.1,180.2,179.9,181.4,183.2,183.2
2010,180,180.2,181.8,182.9,183.7,183.3,183.6,189.4,187.6,188.4,189,189.2
2011,188.2,189.7,192.3,196,196.1,197,198,198.4,199,196.8,198.3,196
2012,196,195.5,195.6,195.6,196.6,195.9,195.9,195.4,195.4,194.8,194.4,194.1
2013,194.4,194.6,194.4,193,193.1,192.8,192.6,192.1,192.2,192.2,192.1,192
2014,193.1,193.6,193.4,193.8,195.7,195.8,196.5,197.6,196.7,196,196.5,196.3
2015,198,198.3,199.3,199.3,199.2,199.2,199.1,198.5,198.3,198.4,198.5,198.7
2016,198.8,198.1,198.3,198.1,198.6,198.4,198.5,199.6,199.9,199.9,200,200.2
2017,200.2,200.8,201,201.1,201.3,201.7,202.2,202.2,202.3,202.2,202.2,202.2
2018,202.5,204.2,206.3,205.7,212.5,212.7,213.4,214.8,214.8,218,219.1,219.2
2019,219.6,219.3,220.2,217.8,217.7,217.6,217.8,217.6,217.4,217.4,217.4,217.4
2020,217.6,217.7,217.4,217.3,217.3,217.3,217.4,217,,,,
