Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,173.1,172.2,173.9,175.2,176.1,174.8,174.7,175.3,175.5,177.3,178.2,179.1
2011,181.1,183.3,187.3,190.2,191.9,191.1,191.7,190.7,191.5,190.2,190.6,189.6
2012,191.1,192.1,194.3,194.7,193.6,191.7,191.2,193.5,195.4,195.1,192.6,191.8
2013,192.6,195.2,194.5,194,194,193.9,194,194.6,194.3,193.7,192.7,193.2
2014,194.2,195.2,196.2,197.5,197.2,197.2,197.4,197.4,196.8,194.8,192.7,189.1
2015,185,185.4,186.2,185.7,188.2,188.9,188.5,187,184.3,183.7,182.9,180.8
2016,179.7,178.7,179.3,180.5,181.9,183.6,183.4,182.5,183,183.7,183.2,183.9
2017,185.6,186.2,186.7,187.6,187.3,187.6,187.3,188.4,189.6,190.2,191.2,191.3
2018,192.6,193.5,194,195.3,197.7,198.4,198.5,198.6,198.9,200.4,198.4,195.2
2019,194.3,195.4,197.4,199.2,199.1,197,197.5,196.4,195.9,196.6,196.5,196.4
2020,196.6,195.1,192.3,186.1,189.7,190.4,192.7,192.8,,,,
