Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,,,,,,,,,,,,100
2004,100.4,101.1,101.3,101.6,102.3,103,103.4,103.7,104.5,105,105.6,105.5
2005,106,106.1,106.9,107.6,108.1,108.7,109.1,109.4,110.7,112.1,111.9,111.2
2006,111.3,111.2,111.7,112.3,113.5,113.8,114,114.7,114.6,113.8,113.5,113.5
2007,113.8,113.5,114,115,115.4,115.5,115.3,115.5,115.5,116.1,117.1,117.8
2008,119,119.3,121,122.4,124.5,126.6,127.1,126.6,125.3,124.2,121.4,119.1
2009,118.5,117.7,116.1,116.5,116.7,117.1,117.6,117.5,117.8,117.4,117.8,117.2
2010,117.3,117.6,118.5,118.9,119.5,119.4,119.3,119.4,119.6,120.1,121.3,121.4
2011,122.2,123.7,125.1,126.6,127.4,126.9,126.7,126.7,127.5,127.5,128.1,128.2
2012,128.7,129.1,130.5,130.9,130.8,130,130,131.2,132.1,132.2,132.1,132.2
2013,131.8,132.4,132.9,132.2,132.2,132.8,132.7,132.9,132.9,133,133,133.3
2014,133.5,133.5,134,135,135.7,135.8,135.8,135.8,135.3,134.8,134.7,134.5
2015,133,132.1,132.6,132.3,132.9,133,132.9,132.2,131.8,131.4,132.1,131.7
2016,131.8,131.3,131,131.3,131.3,131,131.3,131.2,130.9,131.8,132,132.2
2017,132.5,132.8,132.6,132.8,133.2,133.3,133.7,134.8,135.9,135.8,137,137.9
2018,138.7,139.5,139.6,140.1,141.5,143.4,144.3,144.6,145.5,146.8,146.9,146.9
2019,147.1,146.6,146.3,145.8,146.8,147.1,146.4,146.3,146,146.2,147.7,147.5
2020,146.9,146.7,145.7,143.7,140.4,139.2,143,145.1,,,,
