Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,,100,95.5,95.3,91.3,94,99.7,98.7,96.4,102.7,100.4,97.6
2010,102.5,96.8,108.2,101.2,102.3,104.1,101.2,101.4,103.8,103.4,98.9,97.2
2011,97.3,103.7,102.3,113.6,117.3,107.1,104.1,104.7,105.7,101.9,98.9,98.8
2012,103.2,104.2,105.9,97.4,101.1,99,100.7,98.1,100.7,100.4,101.7,97.8
2013,98.7,94.3,95.2,92.9,87.4,89.2,89,87.7,87.6,89.3,88.1,86.2
2014,88.1,87.8,89.1,90.5,91.8,90.7,92.6,93.1,93.5,94.9,97.1,94.9
2015,97.9,95.8,94.8,94.7,95.9,95.5,97.7,97.3,97.7,99.5,97.2,98.2
2016,98.8,99.6,100.3,99.6,99,97.4,96.8,95.9,96.4,96.9,99.2,98.7
2017,99.2,99.3,99.9,98.9,99.5,98.8,100.6,97.3,97.3,96.5,97.9,98.4
2018,98,97.7,98.8,100.7,98.3,98.9,100.4,101.1,103.6,104.9,106.6,107.4
2019,107,106.8,106.7,106,106,104.7,106.4,106.6,106.8,105.3,105.4,106.3
2020,108,106.5,106.1,103.7,104.9,105.4,105.1,106.8,,,,
