PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU333120333120,,,,,,,,,,,
Series Title:,"PPI industry data for Construction machinery mfg, not seasonally adjusted",,,,,,,,,,,
Industry:,Construction machinery mfg,,,,,,,,,,,
Product:,Construction machinery mfg,,,,,,,,,,,
Base Date:,198012,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,167.2,167.3,167.4,167.5,167.8,167.8,167.8,168.0,168.0,168.0,168.0,168.5
1999,169.5,170.0,170.0,170.8,171.0,171.0,171.0,171.1,171.1,171.4,171.6,171.5
2000,172.3,172.3,172.4,172.7,172.6,172.6,172.8,172.8,173.0,173.0,173.0,173.0
2001,173.1,172.9,173.0,173.6,173.5,173.5,173.5,173.6,173.5,174.1,174.2,173.7
2002,174.2,174.2,176.2,176.4,176.3,176.1,176.1,176.1,176.3,176.3,176.5,176.6
2003,177.7,177.9,177.9,178.4,178.6,178.7,178.4,178.5,178.4,178.5,178.6,178.7
2004,180.0,181.1,181.4,182.6,182.6,183.1,185.3,186.0,186.2,186.5,186.2,186.2
2005,188.6,188.3,189.2,189.7,193.2,193.4,193.9,194.5,194.1,194.2,194.5,194.8
2006,197.8,199.1,199.9,199.8,200.3,201.3,201.3,201.3,202.3,202.6,203.5,203.5
2007,205.2,205.8,205.7,206.3,206.3,206.8,207.2,207.3,207.2,207.8,208.0,208.2
2008,209.5,210.2,210.9,211.3,211.7,212.6,213.9,214.3,215.0,215.5,218.0,217.6
2009,220.7,220.5,221.8,221.2,221.7,221.7,221.6,220.9,220.3,220.2,221.2,221.7
2010,221.4,221.1,221.1,221.7,220.9,218.5,218.4,219.8,220.8,220.4,220.1,221.5
2011,222.8,224.4,225.6,225.2,226.2,227.4,228.3,228.8,230.2,230.7,231.6,232.4
2012,234.1,235.7,234.4,234.8,234.6,234.8,235.3,235.3,234.7,235.9,237.4,237.9
2013,239.1,239.3,237.9,238.6,238.6,238.9,239.6,239.3,239.4,239.8,239.2,240.3
2014,242.1,242.1,241.9,242.7,242.6,242.7,242.4,242.5,242.1,242.2,242.6,242.6
2015,245.1,245.1,245.0,245.2,245.2,245.2,245.2,245.3,245.4,245.4,245.5,245.5
2016,246.9,247.0,246.7,246.8,247.1,247.2,247.3,247.3,247.2,247.3,247.1,247.1
2017,247.8,247.5,247.9,247.5,248.3,248.3,248.6,248.7,248.8,248.8,249.3,249.4
2018,245.1,245.4,245.7,245.9,246.2,246.7,247.9,256.6,257.5,257.5,257.8,257.9
2019,260.6,261.0,261.0,261.2,261.6,261.7,261.8,261.9,263.2,263.1,263.9,264.3
2020,266.2,266.6,266.6,266.8,266.8,266.8,266.7,266.7,,,,
