PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU4841214841212,,,,,,,,,,,
Series Title:,"PPI industry data for General freight trucking, long-distance TL-General freight trucking, long-distance, truckload, not seasonally adjusted",,,,,,,,,,,
Industry:,"General freight trucking, long-distance TL",,,,,,,,,,,
Product:,"General freight trucking, long-distance, truckload",,,,,,,,,,,
Base Date:,199206,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,104.6,104.6,104.6,104.6,104.3,104.3,104.4,104.5,104.5,104.7,104.7,104.6
1999,105.1,105.2,105.2,105.2,105.4,105.5,105.5,105.6,105.8,105.6,105.5,105.7
2000,106.1,106.4,107.0,107.5,107.9,108.0,108.1,108.4,109.2,109.5,109.8,109.8
2001,110.0,109.6,109.4,109.7,109.9,109.9,110.3,110.2,110.4,110.0,109.7,109.3
2002,108.9,108.8,108.7,109.3,109.3,109.5,109.5,109.8,109.9,110.2,110.4,110.3
2003,110.4,110.8,111.4,111.6,111.8,111.4,112.4,112.8,113.0,113.3,113.4,113.9
2004,114.2,115.1,115.2,115.6,116.0,116.7,116.7,117.3,118.3,119.2,120.0,119.4
2005,120.1,120.9,121.7,122.5,123.3,123.3,123.3,123.6,125.2,126.7,127.3,126.4
2006,125.6,125.6,125.7,126.1,127.6,128.0,128.1,128.8,129.1,128.6,128.0,127.8
2007,128.5,128.0,127.7,128.3,128.5,128.2,128.3,128.7,129.0,129.3,130.4,131.3
2008,131.4,131.3,132.0,133.3,136.4,139.0,139.9,140.2,137.6,137.4,133.8,130.4
2009,128.3,127.1,125.1,124.2,124.2,124.6,126.1,125.6,126.4,125.4,126.1,125.5
2010,125.3,125.6,126.7,127.0,128.1,128.6,128.3,128.7,128.8,129.4,131.0,131.5
2011,132.0,133.0,135.1,137.1,137.9,137.6,137.4,137.3,138.2,138.2,139.7,139.7
2012,140.7,141.5,143.4,143.9,144.4,142.9,142.1,143.8,144.3,143.9,143.4,143.6
2013,143.3,143.5,144.5,144.0,144.4,144.1,144.1,144.1,143.4,143.4,144.0,143.8
2014,144.4,145.2,145.7,146.8,148.1,148.4,148.2,148.3,148.3,147.4,147.7,146.4
2015,144.0,143.1,143.3,143.6,143.6,144.7,144.5,143.7,143.3,143.1,143.3,142.0
2016,140.5,138.9,138.7,139.2,138.3,138.1,138.5,138.5,139.0,139.9,140.0,140.1
2017,140.3,140.6,139.9,140.1,139.7,139.9,139.9,142.1,142.7,143.0,145.2,147.4
2018,148.3,149.4,149.5,149.8,151.2,152.6,154.0,154.9,156.6,158.1,158.5,158.6
2019,156.5,154.8,154.2,153.7,152.6,154.0,153.3,152.6,153.5,154.0,154.3,155.2
2020,152.9,152.6,148.7,146.8,143.9,142.4,149.2,150.3,,,,
