PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU332510332510,,,,,,,,,,,
Series Title:,"PPI industry data for Hardware mfg, not seasonally adjusted",,,,,,,,,,,
Industry:,Hardware mfg,,,,,,,,,,,
Product:,Hardware mfg,,,,,,,,,,,
Base Date:,198506,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,125.6,126.3,125.8,125.9,125.9,126.0,126.2,126.0,125.9,126.1,126.0,126.0
1999,125.9,125.7,125.9,126.3,126.4,127.7,127.7,128.5,128.5,128.6,128.6,128.7
2000,128.5,129.0,129.3,129.6,129.2,129.8,129.9,130.1,130.2,130.2,130.2,130.3
2001,130.6,131.2,131.6,131.7,132.1,131.8,132.1,132.1,132.7,132.6,132.5,132.9
2002,133.3,133.2,133.5,133.4,133.4,133.1,133.0,133.0,133.1,133.0,133.0,133.3
2003,133.6,133.7,133.6,133.6,133.6,134.0,134.0,133.8,133.8,133.7,134.3,134.1
2004,137.3,137.4,137.2,137.6,138.2,138.3,139.0,139.1,139.9,139.8,140.0,140.3
2005,141.7,142.8,143.2,143.2,143.5,143.8,143.8,144.1,144.2,145.1,145.2,145.2
2006,145.7,145.6,146.0,146.3,146.3,147.1,149.6,150.7,150.9,151.3,151.6,151.4
2007,152.6,153.1,153.5,154.4,154.7,155.0,155.5,155.8,155.7,155.6,155.2,155.5
2008,156.9,157.1,157.8,159.8,162.8,164.1,165.5,168.0,168.6,168.8,170.0,171.0
2009,168.3,167.3,168.2,166.6,165.5,166.3,166.0,166.8,170.5,169.3,169.7,169.3
2010,169.4,169.6,168.3,169.6,170.7,171.1,171.0,170.7,169.5,169.3,169.8,169.5
2011,170.5,172.5,172.7,174.8,175.8,175.9,176.6,178.0,178.0,177.1,177.2,177.2
2012,177.4,177.4,177.2,177.6,177.9,178.3,177.9,177.9,178.0,178.1,178.0,177.8
2013,177.8,178.2,178.2,178.6,178.2,178.0,177.8,178.4,178.4,178.4,178.8,179.0
2014,179.7,180.3,180.5,180.4,182.6,181.0,181.2,181.2,181.3,182.0,181.7,187.7
2015,188.8,188.7,188.7,188.3,190.5,190.8,190.2,190.3,190.9,191.3,191.0,190.7
2016,191.0,191.1,191.6,191.3,191.2,191.1,191.0,190.8,190.9,190.5,191.1,192.9
2017,194.6,194.6,193.6,194.0,194.6,195.2,195.7,194.2,195.1,195.7,196.0,195.5
2018,196.1,196.3,196.3,197.0,197.6,198.9,200.1,200.3,201.7,203.4,203.0,203.3
2019,204.5,204.5,204.4,205.5,205.5,205.5,205.7,205.8,206.0,206.0,206.1,207.9
2020,207.8,208.0,209.2,209.1,208.9,208.9,209.3,209.5,,,,
