PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU441110441110,,,,,,,,,,,
Series Title:,"PPI industry data for New car dealers, not seasonally adjusted",,,,,,,,,,,
Industry:,New car dealers,,,,,,,,,,,
Product:,New car dealers,,,,,,,,,,,
Base Date:,199912,,,,,,,,,,,
Years:,1999 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1999,,,,,,,,,,,,100.0
2000,99.5,95.5,98.8,99.0,100.1,100.7,100.6,99.9,100.6,100.8,100.4,101.0
2001,100.9,99.6,102.7,103.7,103.4,103.6,103.9,103.7,103.5,103.8,104.0,104.0
2002,105.8,108.8,109.0,109.2,109.6,109.4,109.5,108.9,108.8,108.9,109.2,107.7
2003,111.4,112.0,111.9,112.1,111.7,112.6,112.2,111.4,110.8,111.2,110.7,110.4
2004,112.1,112.0,114.3,114.6,114.2,113.5,113.3,113.9,113.9,113.9,113.8,113.0
2005,116.0,116.6,117.2,117.4,116.3,115.6,115.5,115.2,115.2,117.6,116.1,117.4
2006,118.2,119.4,123.2,123.2,123.4,123.4,122.8,122.5,123.1,122.7,123.2,122.6
2007,124.1,124.6,124.9,125.5,125.3,125.9,124.9,123.8,124.8,124.1,124.5,127.7
2008,127.5,127.1,126.9,127.4,126.6,126.1,125.9,124.5,124.4,123.5,125.2,123.0
2009,123.9,126.0,125.7,127.2,125.7,126.2,126.8,132.5,132.2,131.1,130.9,130.5
2010,133.7,133.7,133.1,133.8,133.6,133.7,134.7,134.7,134.6,133.3,133.1,133.3
2011,136.8,137.1,137.2,137.0,137.1,138.5,139.0,137.8,138.7,138.3,138.6,138.1
2012,139.0,139.1,143.0,143.8,143.4,141.3,141.7,140.8,140.4,140.6,140.0,138.9
2013,139.7,139.7,140.5,140.8,140.4,140.6,140.3,140.4,140.0,139.8,140.0,138.8
2014,140.8,142.4,144.6,144.8,145.0,145.5,145.1,145.5,144.5,144.9,145.3,144.4
2015,146.1,147.0,148.5,148.6,148.5,148.1,147.7,146.8,146.8,147.4,147.0,145.2
2016,146.0,146.2,146.8,147.0,145.6,146.0,146.3,145.1,145.7,145.4,145.1,145.3
2017,145.5,146.0,147.2,147.7,148.7,147.1,147.2,146.7,148.1,148.0,147.3,147.1
2018,147.0,148.4,151.6,151.7,150.9,150.6,151.4,150.6,151.5,150.7,150.5,151.4
2019,154.0,154.2,156.3,157.8,156.6,157.3,157.3,157.7,158.2,157.6,157.8,157.2
2020,158.6,159.7,160.7,155.2,155.2,159.0,165.3,169.5,,,,
