PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU3251803251806,,,,,,,,,,,
Series Title:,"PPI industry data for Other basic inorganic chemical manufacturing-Carbon black, all processes, not seasonally adjusted",,,,,,,,,,,
Industry:,Other basic inorganic chemical manufacturing,,,,,,,,,,,
Product:,"Carbon black, all processes",,,,,,,,,,,
Base Date:,198312,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,119.4,119.4,117.3,114.5,114.5,113.9,113.3,113.3,112.4,112.5,112.5,112.1
1999,111.6,111.6,111.6,109.7,109.8,109.8,111.3,111.4,111.3,113.2,113.2,113.1
2000,116.8,120.2,120.2,123.1,124.1,126.1,129.5,131.8,131.8,134.9,135.1,135.1
2001,136.6,137.1,137.0,140.3,137.0,136.6,130.5,130.6,130.6,130.3,130.3,129.6
2002,128.8,128.4,128.4,121.1,120.9,120.9,131.1,131.1,131.1,132.8,132.5,132.4
2003,134.8,134.8,134.8,160.6,153.8,153.8,145.7,145.7,145.7,149.1,149.1,151.5
2004,146.6,146.6,146.6,146.1,146.1,146.1,151.6,151.6,151.6,151.8,151.8,151.8
2005,158.6,158.6,158.6,158.3,158.3,158.3,183.0,183.1,183.1,197.8,197.8,197.8
2006,216.3,216.3,216.3,216.5,216.5,216.5,219.1,219.1,219.1,216.4,216.4,216.4
2007,199.3,199.3,199.3,198.0,198.0,198.0,209.7,209.7,209.7,220.9,231.4,231.4
2008,241.1,241.1,241.1,247.9,247.9,256.6,265.2,265.2,265.2,325.2,325.2,325.2
2009,268.6,268.6,268.6,265.9,242.2,243.0,244.8,254.8,254.7,257.2,275.0,276.7
2010,282.6,281.0,285.7,284.3,283.3,291.3,287.1,286.4,286.9,286.0,285.8,289.5
2011,292.6,295.9,298.7,312.2,317.6,326.3,323.9,326.7,329.3,326.4,326.4,327.9
2012,339.8,339.8,349.9,358.3,358.3,358.3,356.9,365.5,381.9,383.5,380.6,374.3
2013,375.4,378.7,383.1,382.0,375.8,372.5,371.1,369.9,375.3,378.6,378.0,374.1
2014,366.5,364.9,367.7,365.6,368.0,370.2,372.5,365.1,362.8,360.1,342.8,325.6
2015,299.6,269.4,282.3,279.3,282.3,290.6,290.2,283.3,286.8,285.8,286.1,282.3
2016,270.9,265.7,267.4,271.7,274.2,281.9,286.1,,,288.3,288.4,298.7
2017,300.5,304.6,311.6,311.4,305.7,303.6,301.2,306.6,305.5,313.9,314.6,319.4
2018,333.4,345.0,344.5,346.8,344.2,354.7,368.6,377.5,376.8,381.4,377.7,380.2
2019,382.1,385.3,379.7,387.3,396.9,396.2,395.0,392.0,381.2,375.8,363.4,368.3
2020,358.6,366.3,375.2,364.2,350.4,345.7,358.1,347.3,,,,
