PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU333132333132,,,,,,,,,,,
Series Title:,"PPI industry data for Oil and gas field machinery and equipment mfg, not seasonally adjusted",,,,,,,,,,,
Industry:,Oil and gas field machinery and equipment mfg,,,,,,,,,,,
Product:,Oil and gas field machinery and equipment mfg,,,,,,,,,,,
Base Date:,198012,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,159.6,159.5,159.7,160.2,160.1,160.1,160.1,160.4,160.4,160.7,160.7,160.7
1999,161.0,161.4,161.5,161.5,161.5,161.6,161.6,161.2,161.2,161.2,161.5,161.6
2000,161.8,161.7,161.7,161.7,161.8,161.8,161.7,161.7,161.8,162.7,162.7,163.0
2001,166.5,167.5,167.6,168.0,168.0,168.6,168.8,168.9,168.9,169.4,169.3,169.3
2002,169.6,169.7,169.9,170.1,170.2,170.2,170.2,170.2,170.4,170.4,167.2,167.2
2003,170.0,170.0,170.2,171.1,171.3,171.8,172.0,172.0,172.5,172.6,172.6,172.9
2004,173.4,173.7,174.6,176.0,177.3,177.3,177.2,178.2,178.5,178.8,180.5,182.5
2005,185.0,185.8,190.0,190.7,191.8,192.7,193.3,193.4,194.1,195.1,200.3,201.8
2006,202.5,204.8,205.6,206.3,209.1,210.4,211.2,212.0,212.5,216.2,216.3,216.5
2007,220.4,222.2,223.2,224.7,224.7,225.7,227.3,227.5,227.6,227.5,227.7,228.1
2008,230.1,233.2,240.7,242.3,242.7,244.8,246.9,247.8,248.5,249.0,249.9,250.2
2009,249.8,250.1,250.2,249.6,250.8,246.8,249.9,246.8,246.7,246.9,246.8,246.8
2010,246.9,247.4,246.2,246.9,247.0,247.3,246.8,246.8,247.2,247.5,246.5,248.1
2011,248.5,249.3,249.4,251.0,251.9,254.6,255.4,255.5,256.2,256.2,256.3,256.4
2012,257.5,257.9,258.4,260.7,261.0,261.4,261.8,261.9,261.9,261.9,262.3,262.3
2013,263.5,263.6,263.9,264.0,263.2,263.2,263.2,263.6,263.8,264.1,264.4,264.7
2014,266.8,268.4,267.8,267.5,267.5,267.6,267.7,267.8,268.2,268.0,268.0,268.3
2015,268.4,267.9,268.2,268.1,269.7,269.6,267.5,267.4,267.2,267.2,266.9,266.9
2016,266.9,266.7,266.7,266.4,266.4,266.4,266.4,265.2,265.2,265.2,265.7,265.7
2017,265.3,265.4,265.4,265.5,265.4,265.4,265.1,265.1,265.0,265.9,265.8,265.8
2018,267.4,267.3,267.5,267.5,267.5,267.3,267.4,268.5,269.0,269.0,269.0,268.9
2019,269.3,272.1,272.1,272.1,272.1,272.3,272.3,272.3,272.3,270.0,270.0,270.0
2020,268.8,268.9,268.9,269.5,269.5,269.5,269.3,269.5,,,,
