PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU332618332618,,,,,,,,,,,
Series Title:,"PPI industry data for Other fabricated wire product mfg, not seasonally adjusted",,,,,,,,,,,
Industry:,Other fabricated wire product mfg,,,,,,,,,,,
Product:,Other fabricated wire product mfg,,,,,,,,,,,
Base Date:,198212,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,131.9,131.9,131.9,132.3,132.7,132.6,132.6,132.7,132.8,132.9,132.7,133.1
1999,132.9,132.7,132.7,132.8,132.7,133.6,133.5,133.7,133.8,133.8,133.9,133.7
2000,134.0,133.3,133.2,133.4,133.5,133.3,133.2,133.4,133.5,133.5,133.8,134.3
2001,134.2,134.3,134.1,134.1,134.1,133.9,134.1,133.8,133.9,134.0,134.0,134.0
2002,134.0,133.8,134.8,134.5,134.5,134.6,135.1,135.4,135.2,135.1,135.2,135.1
2003,134.9,134.9,134.9,134.9,134.8,135.0,135.3,135.3,135.4,135.5,135.4,135.4
2004,135.5,138.4,140.7,145.0,148.4,149.9,152.4,153.3,153.6,153.2,153.4,154.5
2005,154.5,154.9,154.7,155.1,154.4,153.3,153.9,153.9,154.2,153.9,156.3,157.0
2006,157.4,158.2,157.8,157.9,160.6,160.7,162.9,164.1,164.0,164.0,164.6,164.6
2007,165.1,165.1,165.2,165.5,166.2,166.2,167.6,169.0,169.1,168.9,168.9,168.9
2008,173.1,174.9,180.3,195.3,200.1,201.7,206.2,209.0,207.3,207.7,206.3,202.8
2009,202.7,199.8,195.0,195.4,195.5,194.8,195.2,196.4,204.1,206.2,204.2,204.5
2010,202.9,203.2,204.7,206.7,207.8,210.5,210.9,210.7,211.4,210.3,209.5,210.5
2011,211.4,213.7,216.7,217.5,218.6,219.8,220.0,220.4,221.1,221.2,220.7,220.6
2012,221.5,223.0,223.6,223.2,223.2,224.2,223.8,223.0,223.1,223.1,223.0,222.5
2013,222.4,223.1,224.7,224.0,224.8,225.2,224.6,224.0,224.7,224.6,224.7,224.6
2014,225.1,225.3,225.8,225.9,226.1,226.3,226.5,226.7,226.9,226.5,226.7,226.4
2015,226.8,226.7,226.5,226.6,226.6,227.1,226.8,226.8,226.7,226.9,226.4,226.4
2016,225.5,224.7,224.7,224.5,224.4,224.1,223.8,223.6,223.6,223.6,223.5,223.3
2017,223.5,224.2,223.8,224.2,224.5,225.2,224.9,224.4,224.8,225.3,226.2,225.9
2018,227.5,227.1,226.6,227.9,231.0,231.8,236.4,241.1,241.4,241.1,241.7,243.4
2019,244.0,246.6,247.2,247.6,247.9,248.0,247.7,248.0,248.2,248.5,248.9,248.4
2020,250.7,250.4,250.5,251.5,252.4,252.1,251.9,252.2,,,,
