PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU481111481111,,,,,,,,,,,
Series Title:,"PPI industry data for Scheduled passenger air transportation, not seasonally adjusted",,,,,,,,,,,
Industry:,Scheduled passenger air transportation,,,,,,,,,,,
Product:,Scheduled passenger air transportation,,,,,,,,,,,
Base Date:,198912,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,150.6,151.8,151.3,152.1,152.1,151.9,151.8,151.8,153.4,153.7,154.7,155.4
1999,155.7,158.1,158.9,159.5,160.0,161.4,161.6,161.9,162.1,164.2,164.6,165.8
2000,178.2,177.7,180.4,182.6,184.5,185.7,186.1,186.2,192.6,193.5,193.9,196.7
2001,196.8,197.8,198.5,200.5,199.6,200.9,202.8,202.9,202.7,203.9,200.1,200.7
2002,200.3,200.3,199.6,198.5,198.2,198.5,200.1,200.2,201.2,203.5,202.3,202.8
2003,204.7,202.8,205.1,205.8,205.6,206.1,206.7,207.3,205.3,205.9,206.2,206.6
2004,206.9,207.7,206.2,206.8,206.6,207.2,207.7,207.0,201.2,203.4,205.4,203.5
2005,209.1,208.4,215.9,214.5,213.2,219.8,223.3,219.4,214.9,219.7,227.7,219.1
2006,225.9,229.4,232.1,233.8,228.3,236.7,238.5,237.8,223.6,224.4,227.7,216.7
2007,225.2,228.0,232.7,234.0,224.8,238.2,241.4,243.2,228.9,238.8,242.4,236.1
2008,243.7,242.8,252.9,251.4,256.8,271.1,270.3,267.9,261.7,263.9,255.8,247.3
2009,249.0,237.5,234.7,235.2,222.1,227.3,232.6,239.5,231.0,236.7,243.0,245.1
2010,250.9,249.3,255.5,259.9,255.0,263.2,264.7,258.3,243.4,250.7,253.0,252.7
2011,260.6,264.8,277.4,276.0,274.4,274.5,275.2,281.3,269.6,275.5,275.2,276.9
2012,280.6,286.3,292.2,293.5,289.2,294.4,289.0,289.7,273.0,279.9,277.7,276.3
2013,282.0,279.8,287.8,279.8,276.6,286.7,289.3,291.1,274.7,281.8,275.3,291.8
2014,284.5,277.9,290.2,292.9,290.4,298.3,297.3,299.4,282.4,284.5,283.5,287.5
2015,286.1,281.6,288.1,282.6,278.5,285.5,285.2,277.8,264.2,270.2,266.7,262.7
2016,271.8,269.5,278.6,273.2,262.7,275.7,279.3,274.0,254.4,262.9,266.2,276.3
2017,277.3,277.3,272.6,279.3,270.4,281.1,275.3,268.5,262.6,274.9,278.2,266.4
2018,265.6,271.7,283.4,284.7,277.0,285.4,284.1,276.8,275.9,287.3,294.1,290.4
2019,293.8,283.3,289.0,295.2,291.4,298.1,301.3,290.8,279.7,293.3,287.7,307.9
2020,294.6,288.8,265.7,237.2,254.2,275.4,252.6,237.3,,,,
