PPI Industry Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,PCU335313335313,,,,,,,,,,,
Series Title:,"PPI industry data for Switchgear and switchboard apparatus mfg, not seasonally adjusted",,,,,,,,,,,
Industry:,Switchgear and switchboard apparatus mfg,,,,,,,,,,,
Product:,Switchgear and switchboard apparatus mfg,,,,,,,,,,,
Base Date:,198506,,,,,,,,,,,
Years:,1998 to 2020,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1998,138.2,137.1,138.1,137.8,137.2,138.0,138.0,137.5,137.8,139.5,139.5,139.4
1999,140.6,141.4,139.9,139.2,139.9,141.1,141.0,141.2,141.2,142.1,142.0,142.3
2000,142.6,143.0,142.9,143.5,144.2,143.5,143.6,143.2,143.3,143.1,143.1,144.1
2001,143.4,145.7,145.8,146.9,148.3,148.8,149.6,148.4,149.2,149.5,148.7,147.4
2002,148.7,149.4,149.3,150.6,149.0,150.0,148.8,149.6,149.2,150.3,150.4,152.5
2003,152.6,152.2,152.2,152.4,150.6,152.5,149.7,150.9,150.0,150.1,150.7,149.9
2004,151.2,149.7,151.3,152.9,153.5,153.5,156.3,155.8,155.7,155.9,153.7,154.6
2005,158.2,158.1,159.9,161.3,160.2,162.7,159.5,160.0,159.9,161.8,162.3,160.9
2006,163.1,165.0,165.5,165.8,165.6,166.7,166.2,168.8,169.8,170.2,169.8,173.2
2007,175.2,177.1,178.4,179.1,179.1,179.2,179.6,177.7,181.7,181.3,182.1,182.5
2008,180.9,183.3,183.7,185.3,184.8,186.7,188.5,191.1,190.7,191.8,191.0,192.3
2009,193.9,190.4,193.2,194.7,190.6,191.7,191.7,193.8,193.6,194.2,194.6,194.5
2010,194.2,193.4,194.5,194.7,194.2,195.8,194.9,195.8,195.2,196.1,195.5,196.4
2011,194.4,195.4,198.3,198.8,198.5,199.3,200.0,199.5,199.2,198.2,198.6,197.8
2012,197.8,199.2,198.4,199.1,199.1,198.6,199.0,199.1,199.2,199.2,199.3,199.3
2013,201.2,201.2,201.2,201.2,201.2,201.2,201.2,201.1,201.1,201.4,203.1,203.1
2014,203.5,203.7,200.1,200.7,200.0,199.1,199.9,199.4,199.4,199.5,199.5,199.5
2015,199.5,199.9,199.9,199.9,199.9,200.1,198.0,198.4,199.2,198.7,198.9,199.5
2016,199.9,198.7,198.9,198.5,199.2,199.1,199.8,201.0,200.3,200.6,199.4,199.6
2017,198.9,199.0,200.7,200.5,200.3,200.4,200.3,200.3,201.2,200.4,201.4,201.7
2018,202.5,203.0,204.5,204.7,204.4,204.8,205.1,205.1,205.9,205.3,205.6,206.2
2019,208.2,208.2,210.1,210.1,210.2,210.3,211.1,212.1,214.7,214.8,214.8,214.8
2020,217.2,219.6,218.4,218.4,218.4,219.0,220.8,218.1,,,,
